1973	2	43.4724372
1973	3	43.5648351
1973	4	43.6736863
1973	5	43.7782156
1973	6	43.8763273
1973	7	43.9562443
1973	8	44.0314956
1973	9	44.1131788
1973	10	44.1982187
1973	11	44.2951747
1973	12	44.3936471
1974	1	44.4840562
1974	2	44.5646335
1974	3	44.6425099
1974	4	44.7385767
1974	5	44.8370135
1974	6	44.9302138
1974	7	44.9986146
1974	8	45.0583549
1974	9	45.1283911
1974	10	45.2063835
1974	11	45.2980068
1974	12	45.3897017
1975	1	45.476138
1975	2	45.5632485
1975	3	45.6450189
1975	4	45.7374593
1975	5	45.8283721
1975	6	45.9132976
1975	7	45.9819705
1975	8	46.0407484
1975	9	46.1067084
1975	10	46.1825041
1975	11	46.2788561
1975	12	46.3713351
1976	1	46.4567207
1976	2	46.544486
1976	3	46.6310899
1976	4	46.7302231
1976	5	46.8283588
1976	6	46.9247443
1976	7	46.9969757
1976	8	47.0709148
1976	9	47.1450515
1976	10	47.2361542
1976	11	47.3413241
1976	12	47.4319364
1977	1	47.5213815
1977	2	47.6049313
1977	3	47.6837388
1977	4	47.7781381
1977	5	47.8770756
1977	6	47.9687104
1977	7	48.0348257
1977	8	48.0942021
1977	9	48.1608205
1977	10	48.2460028
1977	11	48.3438529
1977	12	48.4355405
1978	1	48.5344163
1978	2	48.6324506
1978	3	48.7293718
1978	4	48.8365414
1978	5	48.9353232
1978	6	49.0318781
1978	7	49.1013205
1978	8	49.1590844
1978	9	49.2285534
1978	10	49.3069683
1978	11	49.4017939
1978	12	49.4945263
1979	1	49.5861495
1979	2	49.6804907
1979	3	49.7602264
1979	4	49.8555805
1979	5	49.9489224
1979	6	50.0346777
1979	7	50.1018531
1979	8	50.1621723
1979	9	50.2260014
1979	10	50.2967905
1979	11	50.3831254
1979	12	50.4598772
1980	1	50.5387068
1980	2	50.6160484
1980	3	50.6865941
1980	4	50.7658362
1980	5	50.8453698
1980	6	50.918672
1980	7	50.9761148
1980	8	51.0278017
1980	9	51.084323
1980	10	51.1537928
1980	11	51.2318645
1980	12	51.306308
1981	1	51.3807849
1981	2	51.4526292
1981	3	51.5160394
1981	4	51.5985479
1981	5	51.680924
1981	6	51.7572854
1981	7	51.8133335
1981	8	51.8532385
1981	9	51.9014358
1981	10	51.9603433
1981	11	52.0328072
1981	12	52.0984957
1982	1	52.1667826
1982	2	52.2316418
1982	3	52.2938376
1982	4	52.3679897
1982	5	52.4465221
1982	6	52.5179552
1982	7	52.5751485
1982	8	52.6178012
1982	9	52.666816
1982	10	52.7340036
1982	11	52.8055792
1982	12	52.8792189
1983	1	52.9564838
1983	2	53.0444971
1983	3	53.126769
1983	4	53.2196749
1983	5	53.3024139
1983	6	53.3746645
1983	7	53.4335399
1983	8	53.4778015
1983	9	53.5299937
1983	10	53.5845392
1983	11	53.6522628
1983	12	53.7255844
1984	1	53.7882418
1984	2	53.8366625
